Kernel (domain);Kernel (Y);Kernel (pairwise);Setting;Test AUC
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;MLPK;Setting 3;0.7241939238538209
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;MLPK;Setting 4;0.6161816680493873
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Linear;Setting 1;0.747892236097812
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Linear;Setting 2;0.7094581731385294
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Linear;Setting 3;0.7106096495212788
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Linear;Setting 4;0.668572605769574
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Poly2D;Setting 1;0.8977593979889388
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Poly2D;Setting 2;0.810794161309974
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Poly2D;Setting 3;0.8106860165159948
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Poly2D;Setting 4;0.7269459779481207
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Kronecker;Setting 1;0.8978818182425039
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Kronecker;Setting 2;0.8174484280011103
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Kronecker;Setting 3;0.8174783301262236
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Kronecker;Setting 4;0.7389543407802351
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Symmetric;Setting 1;0.948380445671717
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Symmetric;Setting 2;0.8254664782888843
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Symmetric;Setting 3;0.8254663081153928
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;Symmetric;Setting 4;0.7449550423123024
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;MLPK;Setting 1;0.9146787650750535
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;MLPK;Setting 2;0.7633281159085854
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;MLPK;Setting 3;0.7642834594070494
Kd_Tanimoto-circular.txt;Kd_Tanimoto-maccs.txt;MLPK;Setting 4;0.6464092387826987
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Linear;Setting 1;0.7657539118247769
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Linear;Setting 2;0.727312262405684
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Linear;Setting 3;0.7275388701401293
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Linear;Setting 4;0.6814138561272105
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Poly2D;Setting 1;0.8975015224930158
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Poly2D;Setting 2;0.8011125752249699
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Poly2D;Setting 3;0.8005608565962624
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Poly2D;Setting 4;0.707084994627794
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Kronecker;Setting 1;0.8964759992035084
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Kronecker;Setting 2;0.8126958523308374
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Kronecker;Setting 3;0.8124731538788716
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Kronecker;Setting 4;0.7272991470203677
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Symmetric;Setting 1;0.9484469059853798
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Symmetric;Setting 2;0.8215173930839358
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Symmetric;Setting 3;0.821518043733353
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;Symmetric;Setting 4;0.734231592792651
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;MLPK;Setting 1;0.909477797103078
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;MLPK;Setting 2;0.7582105563229958
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;MLPK;Setting 3;0.7586278874126842
Kd_Tanimoto-circular.txt;Kd_Tanimoto-pubchem.txt;MLPK;Setting 4;0.6346956915912801
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Linear;Setting 1;0.807994012422424
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Linear;Setting 2;0.7794144669459704
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Linear;Setting 3;0.7791516540423238
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Linear;Setting 4;0.745755035596946
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Poly2D;Setting 1;0.8818340885173557
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Poly2D;Setting 2;0.8244635950679446
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Poly2D;Setting 3;0.8251353927976122
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Poly2D;Setting 4;0.7664600848483949
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Kronecker;Setting 1;0.88206399388429
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Kronecker;Setting 2;0.8331064911041857
