Kernel (drug);Kernel (protein);Kernel (pairwise);Setting;Iteration;Train AUC;Test AUC
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;68;0.9398209518827175;0.8879018133193103
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;69;0.9398282870069283;0.8879026310056106
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;70;0.9399630788263315;0.8876649931959415
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;71;0.9401734090046387;0.8880152718361763
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;72;0.9399915784470145;0.8873168950525072
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;73;0.9403456481219712;0.8873116073477654
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;74;0.9404309645495418;0.8866303292931756
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;75;0.940435716233779;0.8866199355917587
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;76;0.9404698021240154;0.8860442480947455
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;77;0.9406098321195988;0.8865284274093536
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;78;0.9403443647897766;0.8854085969357115
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;79;0.9406677561150465;0.8856405109412787
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;80;0.9407041088061039;0.8857584394765863
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;81;0.9407295804338309;0.8852721705192108
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;82;0.94074874653883;0.8852802565281803
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;83;0.940965511202169;0.8849408258595292
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;84;0.9408707008423901;0.8842971068623323
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;85;0.9409110188621733;0.8838674944801632
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;86;0.9409985203095917;0.8837552352365375
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;87;0.9410857197964937;0.8833887300659437
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;88;0.9409224147262453;0.8823144174630174
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;89;0.9409040821580883;0.8822569250307041
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;90;0.9411288036907292;0.88230271546352
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;91;0.9410314298119831;0.8814777790113737
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;92;0.9410832076527531;0.8814265555073626
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;93;0.9412013801105402;0.8811734543412146
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;94;0.9413843377777308;0.8809923095694918
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;95;0.9413158116130408;0.8808099473537219
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;96;0.9411934987313674;0.8805632241407162
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;97;0.9413752223446421;0.8809963798301865
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;98;0.941110935596561;0.8800940720832267
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;99;0.9413678368936785;0.8800033089038951
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;100;0.9417729357989584;0.8800850957047301
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;1;0.4093564513373955;0.44149564307047495
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;2;0.732004345279445;0.7140213811446048
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;3;0.8224730111178246;0.8061806770469824
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;4;0.8346401402566122;0.8161041629564842
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;5;0.8577657830805243;0.8418675307511879
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;6;0.8641681829218957;0.846618119777842
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;7;0.8772986500610154;0.8439580712989756
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;8;0.8771971331544243;0.843529297829525
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;9;0.8889823513188317;0.8480584889358035
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;10;0.8942780160812743;0.8489305922104753
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;11;0.895408727348983;0.8578258947091248
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;12;0.901693968444926;0.851669795118065
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;13;0.9056941666596091;0.8533578773584369
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;14;0.9105329875502451;0.8500923479943029
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;15;0.9101228582309232;0.8493662375704969
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;16;0.9103261716349847;0.8523414759896956
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;17;0.9148737147474154;0.8602040563794976
